Artist,Title,Predicted Title,Semantic Similarity,Title Emotion Score,Predicted Title Emotion Score
Maroon 5,This Love (Kanye West Remix),UnINSTINSTINSTINST,-0.01394970528781414,0.5851300358772278,-0.4015355706214905
Taylor Swift,Closest To A Cowboy,Cowboy Caviar,0.5865774154663086,0.39430129528045654,0.3207758367061615
Coldplay,Violet Hill,Long and Dark December,0.17306271195411682,0.13535767793655396,0.2673895061016083
Drake,Ratatouille,"N/A
Art",0.2440596967935562,0.0,0.22705043852329254
Rihanna,It Just Don’t Feel Like Xmas (Without You),Another Day Another Reminder,0.14868302643299103,-0.394043892621994,0.37217167019844055
Selena Gomez,Slow Down (Smash Mode Remix),"""Mr. Boj",0.012662721797823906,-0.21368855237960815,-0.3307953178882599
Ed Sheeran,Wonderwall,"Wonderwall
Artist",0.7795900106430054,0.30637335777282715,0.2721487283706665
Ariana Grande,​right there (live),One Last Time (Rem,0.18163016438484192,0.5526819825172424,-0.43365201354026794
Beyoncé,All I Could Do Was Cry,"""Walking in a",0.16561919450759888,0.31843551993370056,0.2962363660335541
Khalid,Cold Blooded,"""Cold Blood""",0.6541646718978882,-0.48055100440979004,0.0
Beyoncé,At Last,"At Last
Artist",0.6871835589408875,0.1538362056016922,0.2453317493200302
Lady Gaga,White Christmas (Live),Dreaming of a White,0.4194907546043396,0.4984256327152252,0.2789384126663208
Taylor Swift,Tied Together with a Smile,Not The Golden One,0.0935487300157547,0.3998313844203949,-0.21191157400608063
Dua Lipa,Chasing The Dragon,Chasing the Dragon,1.0,0.3635731041431427,0.3635731041431427
Drake,God’s Plan (Demo),"Bad Things
Artist",0.13728439807891846,0.3839050233364105,-0.7415655255317688
Billie Eilish,​​party favor,"""It's Not",0.11305028200149536,0.4402323365211487,-0.4947443902492523
Katy Perry,Now That It’s Over,Not Yet Released,0.23353514075279236,-0.16839516162872314,-0.6959141492843628
Coldplay,Moving to Mars,Space Oddity -,0.2538285255432129,0.1521223932504654,0.16343946754932404
Coldplay,Death Will Never Conquer,"""If I Had My",0.09687284380197525,0.34388110041618347,-0.12178660929203033
Maroon 5,Let’s Stay Together,Stay With Me Baby,0.7285013198852539,0.47285762429237366,0.5373547673225403
Dua Lipa,You Boy,Not Yet Released,0.20980140566825867,0.2544763684272766,-0.6959141492843628
Katy Perry,Breakout,"Breakout

Reb",0.7511369585990906,-0.5473951697349548,-0.47976821660995483
Coldplay,Heroes,"Heroes
Artist",0.8352172374725342,0.6769275665283203,0.5980448126792908
Ed Sheeran,Candle In The Wind,Candle in the Wind,1.0,0.2773522734642029,0.2773522734642029
Justin Bieber,New One,"""New One""",0.8692989945411682,0.5886382460594177,0.4210081398487091
Katy Perry,Funky,"""My Wings""",0.22667068243026733,0.36210140585899353,0.31349483132362366
Katy Perry,Warm Body,Not Yet Revealed,0.11928464472293854,0.190891295671463,-0.5050750970840454
Coldplay,Every Teardrop Is a Waterfall,"Waterfall
Artist",0.5782552361488342,0.3973376750946045,0.14848975837230682
Lady Gaga,Million Reasons,Million Reasons,1.0,-0.2824355959892273,-0.2824355959892273
Dua Lipa,Six Feet Under,"Not Available
Artist",0.17156744003295898,0.32420051097869873,-0.6633979082107544
Lady Gaga,Glamour Zombie,Zombie Love (,0.65456223487854,-0.6772381663322449,0.3215304911136627
Nicki Minaj,Dopeman,"Dopeman
Artist",0.8403165340423584,0.26889437437057495,0.31443411111831665
Dua Lipa,Be The One (Vaggelis Pap & P. Zaphiropoulos Remix),"""I Could Be The",0.36975717544555664,0.5024635791778564,-0.14075437188148499
Lady Gaga,Lady Gaga takes tea with Mr Fry,"Connection with Fans,",0.06312419474124908,0.3482101261615753,0.20540016889572144
Selena Gomez,Flawless,N/A,0.1580377221107483,-0.38469743728637695,-0.2611011266708374
Ariana Grande,Magic*,"Come Back Soon
Art",0.2668490409851074,0.498498797416687,0.45483097434043884
Maroon 5,Payphone (No Rap Edit),"One More Time
Art",0.1678035408258438,0.0,0.4790220260620117
Drake,Still Got it,"""INSTINSTANTINST",0.24444223940372467,0.2879416346549988,-0.31251534819602966
Eminem,So Many Styles,"N/A
Key",0.12117467075586319,0.30720892548561096,0.0
Katy Perry,I Go to Sleep,"Unspecified
Cl",0.03268063813447952,-0.3149692118167877,-0.4236030578613281
