Unnamed: 0,Artist,Title,Predicted Title,Semantic Similarity,Title Emotion Score,Predicted Title Emotion Score
0.0,Rihanna,Lying Down,Overcoming Possession and,0.2148294448852539,-0.4823041558265686,-0.2189893722534179
1.0,Charlie Puth,Free,Born to Be Free Wild,0.5179282426834106,0.1926513612270355,0.4947517514228821
2.0,Billie Eilish,​bellyache (Marian Hill Remix),Lost Mind in the G,0.1740673780441284,0.2986445128917694,-0.3605175614356994
3.0,Katy Perry,La Quisen Sjol,N/A (Pending,0.0594528056681156,0.0,-0.3979975879192352
4.0,Eminem,Stepping Stone,Bulletproof to River,0.2650503814220428,0.5489668250083923,-0.2624118328094482
5.0,Ed Sheeran,"You Need Me, I Don’t Need You (Remix)",I Still Rap with Cold,0.3489029705524444,0.4458263516426086,0.3442552983760834
6.0,Taylor Swift,...Ready for It?,Ghostly Vow in,0.0850007757544517,0.0,-0.2951893508434295
7.0,Rihanna,We Found Love (Cahill Edit),We Found Love in Hop,0.6967390179634094,0.4217785596847534,0.576101541519165
8.0,Nicki Minaj,Dear Old Nicki,Missing Nicki Res,0.6247087717056274,0.4887977540493011,-0.4050974547863006
9.0,Nicki Minaj,Roman Holiday,"Roman Holiday, Sil",0.9384654760360718,0.3451197743415832,0.1714828461408615
10.0,Post Malone,Very Ape,Buried in Flies,0.2315097451210022,-0.1881845593452453,-0.3351340889930725
11.0,Katy Perry,Waking Up in Vegas (Jason Nevins Electrotec Club Remix),Shaking Off Vegas Gl,0.3369466662406921,0.3443523645401001,-0.3032418489456177
12.0,Ed Sheeran,Drunk (Lazy Jay’s Wasted in London Remix),Drunk amongst Broken,0.4587603807449341,-0.5174399018287659,-0.4511225819587707
13.0,Taylor Swift,​hoax,Broken HeartINSTINST,0.0725125819444656,0.1354970932006836,-0.5789225101470947
14.0,Eminem,Slim Shady (Intro),Reflection War with S,0.1966411769390106,0.1591517329216003,-0.2297315001487732
15.0,Ed Sheeran,Bloodstream,SpinningINSTINST,0.0043789409101009,-0.2091134339570999,0.3551847040653229
16.0,Rihanna,Petty Nonsense,Nonconforming Agenda,0.3318278193473816,-0.7097413539886475,-0.2536605894565582
17.0,Billie Eilish,8,CommittedINSTINSTINST,0.2533864974975586,0.386205106973648,0.3484737277030945
18.0,Lady Gaga,Trigger (Demo),"White Room Confusions,",0.0129666980355978,0.1336993128061294,-0.3320074379444122
19.0,Lady Gaga,Do What U Want (Solo Version),Do What You Want Over,0.3418221473693847,0.442904382944107,0.3763189315795898
20.0,Maroon 5,Must Get Out (Demo),"Weaving Circles,",0.0081559410318732,0.4595658481121063,0.1838544309139251
21.0,Katy Perry,I Kissed a Girl (Dr. Luke and Benny Blanco Extended Mix),"""I Kissed a",0.7249564528465271,0.3716691434383392,0.2570521831512451
22.0,Rihanna,Rude Boy,Come Here Rude Boy,0.846260666847229,-0.4145943522453308,0.5079959034919739
23.0,Lady Gaga,The Manifesto of Mother Monster,Manifesto of Mother,0.7102128267288208,0.34205362200737,0.4554252922534942
24.0,Post Malone,Cold,"Frozen for You,",0.6017030477523804,-0.1565597057342529,0.3283705115318298
25.0,Post Malone,Lonely,Seeing Through Dreams,0.2812384366989136,0.2805431187152862,0.3598062098026275
26.0,Eminem,Brain Damage (Snippet),Electric Shock Rebell,0.2452821582555771,-0.5357397198677063,0.3507052958011627
27.0,Coldplay,Suzanne,Travel withINSTINSTINST,0.1370793282985687,0.1330350488424301,0.0
28.0,Ariana Grande,​my heart belongs to daddy (live),Heart Belongs to Daddy,0.8624526858329773,0.6041623950004578,0.4805183708667755
29.0,Justin Bieber,Along The Way*,N/A (Pending,0.1879979372024536,0.1896555870771408,-0.3979975879192352
30.0,Rihanna,Fire Bomb,Fire Bomb Journey and,0.8454822897911072,-0.2582230269908905,0.4183794856071472
31.0,Rihanna,Umbrella (Seamus Haji & Paul Emanuel),Under My Umbrella,0.5771923065185547,0.1587131172418594,0.4121650159358978
32.0,Lady Gaga,Stupid Love (The Blessed Madonna Remix)*,N/A (Pending,0.0289515927433967,-0.6940991282463074,-0.3979975879192352
33.0,Coldplay,The Hardest Part / Postcards From Far Away,"Letting Go, Str",0.2398309409618377,0.6983330249786377,0.3927087783813476
34.0,Drake,ESPYS: Honorable Mention,Honorable Mention Res,0.592239499092102,0.4371928572654724,0.3844805061817169
35.0,Ed Sheeran,"You Need Me, I Don’t Need You (Gemini Remix)","You Need Me, Don",0.5849862098693848,0.4749593138694763,0.2863451540470123
36.0,Drake,Concentrate*,Mind to Exes Sh,0.2406435012817382,0.1284289211034774,0.2483746707439422
,Average,,,0.3751503713680683,0.12042994032035002,0.0679116680009945
